[1] Starting main script
[1] "Mon Jul 11 10:00:47 2016"
[1] Using model :  modelDoubleConvNN
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] Starting to train model for keypoints : 
 [1]  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
[26] 26 27 28 29 30
[1] "Mon Jul 11 10:00:51 2016"
Start training with 1 devices
[1] Train-rmse=34.6875985253528
[282] Train-rmse=1.9861300565614
[283] Train-rmse=1.98433788345256
[284] Train-rmse=1.98281968591774
[285] Train-rmse=1.98125189537317
[286] Train-rmse=1.9796927234406
[287] Train-rmse=1.97801245372308
[288] Train-rmse=1.97669010682387
[289] Train-rmse=1.97472996746736
[290] Train-rmse=1.97330580023232
[291] Train-rmse=1.9719601216322
[292] Train-rmse=1.97038602063515
[293] Train-rmse=1.96874797622947
[294] Train-rmse=1.96745330609012
[295] Train-rmse=1.96581757982131
[296] Train-rmse=1.9645597059311
[297] Train-rmse=1.96289571476178
[298] Train-rmse=1.96146636458446
[299] Train-rmse=1.95994988283601
[300] Train-rmse=1.95859958019494
[301] Train-rmse=1.95715024472511
[302] Train-rmse=1.95551844033052
[303] Train-rmse=1.95408871075856
[304] Train-rmse=1.95258658024217
[305] Train-rmse=1.95110255490916
[306] Train-rmse=1.94978149388163
[307] Train-rmse=1.94808429444512
[308] Train-rmse=1.94668461650765
[309] Train-rmse=1.94545049484982
[310] Train-rmse=1.94384350118696
[311] Train-rmse=1.94238721422375
[312] Train-rmse=1.94124574831989
[313] Train-rmse=1.93948708906343
[314] Train-rmse=1.93812197133284
[315] Train-rmse=1.93683540661919
[316] Train-rmse=1.93524780904933
[317] Train-rmse=1.93413177071093
[318] Train-rmse=1.93243357111007
[319] Train-rmse=1.93128718882399
[320] Train-rmse=1.92984587861167
[321] Train-rmse=1.92791558079829
[322] Train-rmse=1.92679977056211
[323] Train-rmse=1.92527015569366
[324] Train-rmse=1.92315139605912
[325] Train-rmse=1.92153337857561
[326] Train-rmse=1.91946072858959
[327] Train-rmse=1.9178557015472
[328] Train-rmse=1.91609537437674
[329] Train-rmse=1.91450352037014
[330] Train-rmse=1.91279648332015
[331] Train-rmse=1.91134041109522
[332] Train-rmse=1.91006559915075
[333] Train-rmse=1.90863047357163
[334] Train-rmse=1.90713198822272
[335] Train-rmse=1.90538465057413
[336] Train-rmse=1.90450512746351
[337] Train-rmse=1.90305514987975
[338] Train-rmse=1.90192254612164
[339] Train-rmse=1.90075004535642
[340] Train-rmse=1.89935177342631
[341] Train-rmse=1.89767552021769
[342] Train-rmse=1.89663521819341
[343] Train-rmse=1.89469435768009
[344] Train-rmse=1.89377429122885
[345] Train-rmse=1.89214830831208
[346] Train-rmse=1.89111097022507
[347] Train-rmse=1.88991230175949
[348] Train-rmse=1.88860250965938
[349] Train-rmse=1.88710590300133
[350] Train-rmse=1.88581008871202
[351] Train-rmse=1.88444135795139
[352] Train-rmse=1.88311622449126
[353] Train-rmse=1.88181354933546
[354] Train-rmse=1.88064433593879
[355] Train-rmse=1.87938881210864
[356] Train-rmse=1.87784167764597
[357] Train-rmse=1.87654438253173
[358] Train-rmse=1.87500559212003
[359] Train-rmse=1.87428143644235
[360] Train-rmse=1.87272404872872
[361] Train-rmse=1.87178597876319
[362] Train-rmse=1.8702307189278
[363] Train-rmse=1.86934389623181
[364] Train-rmse=1.86749217174949
[365] Train-rmse=1.8664603915576
[366] Train-rmse=1.86477781941311
[367] Train-rmse=1.86364171617405
[368] Train-rmse=1.86241440824223
[369] Train-rmse=1.86127668515655
[370] Train-rmse=1.86048284231762
[371] Train-rmse=1.85863880228072
[372] Train-rmse=1.85773321079229
[373] Train-rmse=1.8562677760626
[374] Train-rmse=1.85520590021584
[375] Train-rmse=1.85373424567452
[376] Train-rmse=1.85290243682176
[377] Train-rmse=1.8515292642811
[378] Train-rmse=1.85058397485953
[379] Train-rmse=1.84927746710515
[380] Train-rmse=1.84815878610916
[381] Train-rmse=1.84717021208163
[382] Train-rmse=1.84612846176189
[383] Train-rmse=1.84524690857447
[384] Train-rmse=1.84404430276864
[385] Train-rmse=1.84326196966631
[386] Train-rmse=1.84223502321455
[387] Train-rmse=1.8413986548518
[388] Train-rmse=1.84029265179911
[389] Train-rmse=1.83941511698387
[390] Train-rmse=1.83814824487958
[391] Train-rmse=1.83730034831446
[392] Train-rmse=1.8361896956764
[393] Train-rmse=1.83483110616366
[394] Train-rmse=1.83395337740688
[395] Train-rmse=1.83268046999765
[396] Train-rmse=1.83187999743172
[397] Train-rmse=1.83105255662752
[398] Train-rmse=1.83020959796466
[399] Train-rmse=1.82904111749569
[400] Train-rmse=1.82808001123508
[401] Train-rmse=1.82698553238404
[402] Train-rmse=1.82577218013582
[403] Train-rmse=1.82468079161706
[404] Train-rmse=1.82392477055013
[405] Train-rmse=1.82308983482511
[406] Train-rmse=1.82179079508149
[407] Train-rmse=1.82092443064491
[408] Train-rmse=1.82041602906493
[409] Train-rmse=1.81925908704454
[410] Train-rmse=1.81829128307635
[411] Train-rmse=1.81726644406741
[412] Train-rmse=1.81684784825099
[413] Train-rmse=1.81557148887185
[414] Train-rmse=1.81480410226604
[415] Train-rmse=1.8141060437656
[416] Train-rmse=1.81278022627017
[417] Train-rmse=1.81243742889104
[418] Train-rmse=1.81148818688085
[419] Train-rmse=1.81061242055005
[420] Train-rmse=1.80971767902081
[421] Train-rmse=1.80905525050736
[422] Train-rmse=1.80852335093753
[423] Train-rmse=1.80762286059595
[424] Train-rmse=1.80718701467987
[425] Train-rmse=1.80601207624379
[426] Train-rmse=1.80537231592619
[427] Train-rmse=1.80460064527298
[428] Train-rmse=1.80399663967104
[429] Train-rmse=1.80313527462008
[430] Train-rmse=1.80288167858427
[431] Train-rmse=1.80226247366479
[432] Train-rmse=1.80137611488991
[433] Train-rmse=1.80059813426775
[434] Train-rmse=1.80010770116631
[435] Train-rmse=1.79951509712981
[436] Train-rmse=1.79889734448113
[437] Train-rmse=1.79882568751332
[438] Train-rmse=1.79812425430461
[439] Train-rmse=1.79713880520767
[440] Train-rmse=1.79703911366611
[441] Train-rmse=1.796474679893
[442] Train-rmse=1.79612676916297
[443] Train-rmse=1.79560970775964
[444] Train-rmse=1.79570290203759
[445] Train-rmse=1.79486552617859
[446] Train-rmse=1.79492807916137
[447] Train-rmse=1.79467494339208
[448] Train-rmse=1.79445312779662
[449] Train-rmse=1.79417861605619
[450] Train-rmse=1.79427116746022
[451] Train-rmse=1.79437695589185
[452] Train-rmse=1.79455472787844
[453] Train-rmse=1.79461829990996
[454] Train-rmse=1.79529099247787
[455] Train-rmse=1.79562223286419
[456] Train-rmse=1.79625325665042
[457] Train-rmse=1.79646233088842
[458] Train-rmse=1.79706606421792
[459] Train-rmse=1.79808982297155
[460] Train-rmse=1.79885783349965
[461] Train-rmse=1.79952139913313
[462] Train-rmse=1.80110265428739
[463] Train-rmse=1.80209506475365
[464] Train-rmse=1.80382255220642
[465] Train-rmse=1.80544236685317
[466] Train-rmse=1.80686412441012
[467] Train-rmse=1.80883153222528
[468] Train-rmse=1.81068480007144
[469] Train-rmse=1.81231199272906
[470] Train-rmse=1.81528850124748
[471] Train-rmse=1.81896293341005
[472] Train-rmse=1.82282096561986
[473] Train-rmse=1.82564249262537
[474] Train-rmse=1.82619151942275
[475] Train-rmse=1.82606454827099
[476] Train-rmse=1.82346189856704
[477] Train-rmse=1.81853102522719
[478] Train-rmse=1.81043740217322
[479] Train-rmse=1.80104436200433
[480] Train-rmse=1.79204459322373
[481] Train-rmse=1.78281713539828
[482] Train-rmse=1.77422219609208
[483] Train-rmse=1.76659357828802
[484] Train-rmse=1.76142143092588
[485] Train-rmse=1.75654066299552
[486] Train-rmse=1.75196428710646
[487] Train-rmse=1.74829364659513
[488] Train-rmse=1.74546062750468
[489] Train-rmse=1.74255892885215
[490] Train-rmse=1.73971135245065
[491] Train-rmse=1.73741310593931
[492] Train-rmse=1.73562511841029
[493] Train-rmse=1.73347079610608
[494] Train-rmse=1.73163970872706
[495] Train-rmse=1.72978124175471
[496] Train-rmse=1.7278875241613
[497] Train-rmse=1.72630974838901
[498] Train-rmse=1.72449477581937
[499] Train-rmse=1.72255909048454
[500] Train-rmse=1.7212240029431
[1] Finished training model for kp : 
 [1]  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
[26] 26 27 28 29 30
Time difference of 11.87769 hours
[1] Computing predictions #1
[1] Starting to train model for keypoints : 
[1]  1  2  3  4 21 22 29 30
[1] "Mon Jul 11 21:54:09 2016"
Start training with 1 devices
[1] Train-rmse=53.2210606148322
[2] Train-rmse=52.1657989090079
[3] Train-rmse=37.7090642972963
[4] Train-rmse=5.95586225224692
[5] Train-rmse=4.05151057205434
[6] Train-rmse=4.05153651604731
[7] Train-rmse=4.05153590369208
[8] Train-rmse=4.0515341358757
[9] Train-rmse=4.0515317106886
[10] Train-rmse=4.05152934722867
[11] Train-rmse=4.05152717838793
[12] Train-rmse=4.05152524364676
[13] Train-rmse=4.05152382507814
[14] Train-rmse=4.05152228328264
[15] Train-rmse=4.05152105675817
[16] Train-rmse=4.05151996458072
[17] Train-rmse=4.05151885640326
[18] Train-rmse=4.05151793507116
[19] Train-rmse=4.05151702780685
[20] Train-rmse=4.0515161299784
[21] Train-rmse=4.05151536958877
[1] Starting main script
[1] "Mon Jul 11 23:36:26 2016"
[1] Using model :  modelDoubleConvNN ,lr :  0.003 , round :  500 , eval :  FALSE
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] "Loading saved model #2 for modelDoubleConvNN, version 2"
[1] Computing predictions #1
[1] Starting to train model for keypoints : 
[1]  1  2  3  4 21 22 29 30
[1] "Mon Jul 11 23:37:05 2016"
Start training with 1 devices
[1] Starting main script
[1] "Mon Jul 11 23:39:46 2016"
[1] Using model :  modelDoubleConvNN ,lr :  3e-04 , round :  500 , eval :  FALSE
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] "Loading saved model #2 for modelDoubleConvNN, version 2"
[1] Computing predictions #1
[1] Starting to train model for keypoints : 
[1]  1  2  3  4 21 22 29 30
[1] "Mon Jul 11 23:40:26 2016"
Start training with 1 devices
[1] Train-rmse=52.1761884182268
[2] Train-rmse=14.3856584527721
[3] Train-rmse=4.05676424977179
[4] Train-rmse=4.05655409426365
[5] Train-rmse=4.05655364799638
[6] Train-rmse=4.05655327988294
[7] Train-rmse=4.05655283917916
[1] Starting main script
[1] "Tue Jul 12 00:18:09 2016"
[1] Using model :  modelDoubleConvNN ,lr :  0.001 , round :  500 , eval :  FALSE
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] "Loading saved model #2 for modelDoubleConvNN, version 2"
[1] Computing predictions #1
[1] Starting to train model for keypoints : 
[1]  1  2  3  4 21 22 29 30
[1] "Tue Jul 12 00:18:49 2016"
Start training with 1 devices
[1] Train-rmse=26.115877550554
[2] Train-rmse=4.06429191844531
[3] Train-rmse=4.05875280248206
[4] Train-rmse=4.05875797828491
[5] Train-rmse=4.05875782811478
[6] Train-rmse=4.05875769456494
[7] Train-rmse=4.05875759684835
[8] Train-rmse=4.05875749171647
[9] Train-rmse=4.05875734992723
[10] Train-rmse=4.05875725892411
[11] Train-rmse=4.05875715333582
[12] Train-rmse=4.05875704558309
[13] Train-rmse=4.05875688010729
[14] Train-rmse=4.05875677762669
[15] Train-rmse=4.05875664710534
[16] Train-rmse=4.05875655606702
[17] Train-rmse=4.05875644174676
[18] Train-rmse=4.05875635805185
[19] Train-rmse=4.05875622441927
[20] Train-rmse=4.05875612564437
[21] Train-rmse=4.05875602207078
[22] Train-rmse=4.05875586429603
[23] Train-rmse=4.05875577140032
[24] Train-rmse=4.05875564228332
[25] Train-rmse=4.05875551271934
[26] Train-rmse=4.05875540531151
[27] Train-rmse=4.05875530861759
[28] Train-rmse=4.0587552451298
[29] Train-rmse=4.05875505492943
[30] Train-rmse=4.05875496705411
[31] Train-rmse=4.05875481921367
[32] Train-rmse=4.05875472039407
[33] Train-rmse=4.05875461744604
[34] Train-rmse=4.05875448759626
[35] Train-rmse=4.05875434742165
[36] Train-rmse=4.05875427471013
[37] Train-rmse=4.05875412667075
[38] Train-rmse=4.0587540093567
[39] Train-rmse=4.05875393210972
[40] Train-rmse=4.05875380336154
[41] Train-rmse=4.0587536819442
[42] Train-rmse=4.0587535991306
[43] Train-rmse=4.05875344228519
[44] Train-rmse=4.05875338020119
[45] Train-rmse=4.05875324340738
[46] Train-rmse=4.05875315399811
[47] Train-rmse=4.05875300246135
[48] Train-rmse=4.05875293559686
[49] Train-rmse=4.05875280390063
[50] Train-rmse=4.05875269340309
[51] Train-rmse=4.05875258658639
[52] Train-rmse=4.05875248272744
[53] Train-rmse=4.05875237540759
[54] Train-rmse=4.0587522530917
[55] Train-rmse=4.05875210593532
[56] Train-rmse=4.05875198013314
[57] Train-rmse=4.05875182874748
[58] Train-rmse=4.05875172965824
[59] Train-rmse=4.05875161343677
[60] Train-rmse=4.05875150477361
[61] Train-rmse=4.05875139426529
[62] Train-rmse=4.05875128716301
[63] Train-rmse=4.05875115090959
[64] Train-rmse=4.05875103610932
[65] Train-rmse=4.058750861851
[66] Train-rmse=4.05875077394636
[67] Train-rmse=4.05875062272314
[68] Train-rmse=4.05875049464966
[69] Train-rmse=4.05875039992089
[70] Train-rmse=4.05875026516012
[71] Train-rmse=4.058750133367
[72] Train-rmse=4.05875006172419
[73] Train-rmse=4.05874991535908
[74] Train-rmse=4.05874978142094
[75] Train-rmse=4.0587496758326
[76] Train-rmse=4.05874953714482
[77] Train-rmse=4.05874940514156
[78] Train-rmse=4.05874930611737
[79] Train-rmse=4.05874921461349
[80] Train-rmse=4.05874908361584
[81] Train-rmse=4.05874898831711
[82] Train-rmse=4.0587488550219
[83] Train-rmse=4.05874874133314
[84] Train-rmse=4.05874861933139
[85] Train-rmse=4.05874848316872
[86] Train-rmse=4.05874834315159
[87] Train-rmse=4.05874814410341
[88] Train-rmse=4.05874799625335
[89] Train-rmse=4.05874778664141
[90] Train-rmse=4.05874761322027
[91] Train-rmse=4.05874746649707
[92] Train-rmse=4.05874727825168
[93] Train-rmse=4.05874714498245
[94] Train-rmse=4.05874697052607
[95] Train-rmse=4.05874681841424
[96] Train-rmse=4.05874663304635
[97] Train-rmse=4.05874647961285
[98] Train-rmse=4.05874629442356
[99] Train-rmse=4.05874612387772
[100] Train-rmse=4.05874599743169
[101] Train-rmse=4.05874580749709
[102] Train-rmse=4.05874564256379
[103] Train-rmse=4.05874546448049
[104] Train-rmse=4.05874531893347
[105] Train-rmse=4.05874517328811
[106] Train-rmse=4.0587449995683
[107] Train-rmse=4.0587448352732
[108] Train-rmse=4.05874467604351
[109] Train-rmse=4.05874455586836
[110] Train-rmse=4.05874442673666
[111] Train-rmse=4.0587442478336
[112] Train-rmse=4.05874405797012
[1] Starting main script
[1] "Tue Jul 12 08:55:49 2016"
[1] Using model :  modelDoubleConvNN ,lr :  0.005 , round :  300 , eval :  FALSE
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] "Loading saved model #2 for modelDoubleConvNN, version 2"
[1] Computing predictions #1
[1] Starting to train model for keypoints : 
[1]  1  2  3  4 21 22 29 30
[1] "Tue Jul 12 08:56:29 2016"
Start training with 1 devices
[1] Train-rmse=NaN
[2] Train-rmse=NaN
[3] Train-rmse=NaN
[1] Starting main script
[1] "Tue Jul 12 10:03:37 2016"
[1] Using model :  modelDoubleConvNN ,lr :  1e-04 , round :  500 , eval :  FALSE
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] "Loading saved model #2 for modelDoubleConvNN, version 2"
[1] Computing predictions #1
[1] Starting to train model for keypoints : 
[1]  1  2  3  4 21 22 29 30
[1] "Tue Jul 12 10:04:17 2016"
Start training with 1 devices
[1] Train-rmse=53.3895027871306
[2] Train-rmse=52.691245437855
[3] Train-rmse=48.1284035003543
[4] Train-rmse=16.9383393783982
[5] Train-rmse=4.05752172237606
[6] Train-rmse=4.05547443304751
[7] Train-rmse=4.05547718019986
[1] Starting main script
[1] "Tue Jul 12 10:31:35 2016"
[1] Using model :  modelDoubleConvNN ,lr :  1e-04 , round :  500 , eval :  FALSE
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] "Loading saved model #2 for modelDoubleConvNN, version 2"
[1] Computing predictions #1
[1] Starting to train model for keypoints : 
[1]  1  2  3  4 21 22 29 30
[1] "Tue Jul 12 10:32:15 2016"
